layer_id,sub_id,label,cost_usd_m_per_mw_low,cost_usd_m_per_mw_high,cost_usd_m_per_mw_central,basis,vintage,evidence_tier,layer_dominating,inflation_flag,primary_source_publisher,primary_source_url,retrieval_date,notes
shell_civil_land,land_tier_1_nova,Land - Tier 1 Northern Virginia,0.30,1.50,0.80,facility_mw,2025,T1,FALSE,"Loudoun avg DC-zoned land +59% YoY 2024-25",Loudoun Now,https://www.loudounnow.com/news/loudoun-land-data-center-values-soar-while-home-assessments-hold-steady/article_d7977ab6-f33b-4dc2-8203-d53bc9a8ebc4.html,2026-04-27,"5-8 ac/100 MW × $3-6M/ac"
shell_civil_land,land_tier_2_3,Land - Tier 2/3 (PHX/ATL/OH/TX),0.05,0.40,0.15,facility_mw,2025,T1,FALSE,,Phoenix Metro Home Search,https://www.phoenixmetrohomesearch.com/blog/global-data-center-giant-pays-300-million-for-land-in-east-valley,2026-04-27,"NTT Mesa $1.7M/acre record"
shell_civil_land,land_tier_4_rural,Land - Tier 4 rural (LA/MS/Mt Pleasant),0.01,0.075,0.03,facility_mw,2025,T1,FALSE,,Urban Milwaukee,https://urbanmilwaukee.com/2024/07/30/microsoft-buys-more-land-in-mount-pleasant-for-data-center/,2026-04-27,"Mt Pleasant $165k/acre"
shell_civil_land,site_civil_utilities_permitting,Site civil + utilities + permitting,0.30,1.20,0.70,facility_mw,2025,T3,FALSE,,Cushman & Wakefield,https://www.cushmanwakefield.com/en/united-states/insights/data-center-development-cost-guide,2026-04-27,"Heavy fill / rock pushes high end"
shell_civil_land,building_shell,Building shell (tilt-up / structural steel),1.4,2.5,1.9,facility_mw,2025,T3,FALSE,,DPR Construction,https://www.dpr.com/media/blog/digital-realty-tilt-up,2026-04-27,"7000 sq ft/MW × $200-350/sq ft"
shell_civil_land,base_fitout,"Base fit-out (raised floor, fire, BMS, security)",1.5,2.5,2.0,facility_mw,2025,T3,FALSE,,Cushman & Wakefield,https://www.cushmanwakefield.com/en/united-states/insights/data-center-development-cost-guide,2026-04-27,"20-25% of total construction"
shell_civil_land,ai_fitout_delta,AI fit-out delta (busway / CDU / leak det / BMS),1.0,3.0,1.8,facility_mw,2026,T3,FALSE,"AI-DC premium 7-10% above cloud",Turner & Townsend,https://reports.turnerandtownsend.com/data-centre-construction-cost-index-2025/data-centre-cost-trends,2026-04-27,
cooling,dlc_cold_plates_manifolds,DLC cold plates + manifolds,0.25,0.50,0.35,facility_mw,2025,T2,FALSE,,Deep Fundamental,https://deepfundamental.substack.com/p/deep-dive-liquid-cooling,2026-04-27,"CoolIT ~$20k/rack × 7 racks/MW"
cooling,cdus,CDUs (coolant distribution units),0.30,0.70,0.50,facility_mw,2025,T2,FALSE,,Schneider Electric / Motivair,https://www.se.com/us/en/about-us/newsroom/news/press-releases/schneider-electric-unveils-liquid-cooling-portfolio-with-motivair-featuring-dedicated-solutions-and-services-for-hpc-and-ai-workloads-68da975376d417f4a10de42c/,2026-04-27,"MCDU-70 family 105 kW to 2.5 MW"
cooling,facility_water_loop_tcs,Facility water loop / TCS piping,0.15,0.30,0.22,facility_mw,2024,T5,FALSE,,ASHRAE TC9.9 / DCD,https://www.datacenterdynamics.com/en/news/ashrae-publishes-liquid-cooling-guidelines-as-chip-power-moves-into-uncharted-territory/,2026-04-27,
cooling,chillers_water_cooled_centrifugal,Chillers (water-cooled centrifugal),0.40,0.90,0.65,facility_mw,2025,T2,FALSE,,LNEYA 2025,https://www.lneya-online.com/en/chiller-price-guide-2025-cost-breakdown-by-type-capacity-and-application.html,2026-04-27,"$300-800/ton × 285 tons/MW"
cooling,cooling_towers_evap,Cooling towers + condenser-water (wet/evap),0.15,0.35,0.25,facility_mw,2024,T3,FALSE,,DOE FEMP,https://www.energy.gov/cmei/femp/cooling-water-efficiency-opportunities-federal-data-centers,2026-04-27,"855 gpm/MW design flow"
cooling,dry_coolers_adiabatic,Dry coolers + adiabatic hybrid,0.30,0.60,0.45,facility_mw,2024,T1,FALSE,,Microsoft Cloud Blog,https://www.microsoft.com/en-us/microsoft-cloud/blog/2024/12/09/sustainable-by-design-next-generation-datacenters-consume-zero-water-for-cooling/,2026-04-27,"Water-stressed sites; closed-loop"
cooling,pumps_piping_central_plant,Pumps + piping + valves,0.10,0.25,0.17,facility_mw,2024,T5,FALSE,,Industry estimate,,2026-04-27,
cooling,residual_air_side,"Residual air-side (CRAH, RDHx, fan walls)",0.20,0.50,0.35,facility_mw,2024,T2,FALSE,,Vertiv,https://www.vertiv.com/en-emea/about/news-and-insights/news-releases/vertiv-codevelops-with-nvidia-complete-power-and-cooling-blueprint-for--nvidia-gb200-nvl72-platform/,2026-04-27,"NVL72 reference is hybrid liquid-air"
cooling,bms_controls_monitoring,BMS / controls / monitoring,0.05,0.15,0.10,facility_mw,2024,T5,FALSE,,Industry estimate,,2026-04-27,
power_infrastructure,utility_substation_switchyard,Utility substation + switchyard,0.15,0.40,0.25,facility_mw,2025,T1,FALSE,,Data Center Dynamics (Dominion 900 MW filing),https://www.datacenterdynamics.com/en/news/dominion-to-build-new-high-voltage-lines-to-supply-proposed-900mw-data-center-in-chesterfield-county-virginia/,2026-04-27,
power_infrastructure,main_power_transformers,Main power transformers (HV + MV + GSU),0.30,0.60,0.45,facility_mw,2025,T2,TRUE,"Power tx +77% since 2019; 128wk LPT lead",Wood Mackenzie via PowerMag,https://www.powermag.com/transformers-in-2026-shortage-scramble-or-self-inflicted-crisis/,2026-04-27,"Layer-dominating long-lead component"
power_infrastructure,switchgear_mv_lv,MV + LV switchgear and bus,0.25,0.40,0.32,facility_mw,2025,T3,FALSE,,Dell'Oro Q4'25,https://www.delloro.com/news/data-center-physical-infrastructure-market-reaches-10-9-billion-in-4q-2025-up-20-percent-y-y/,2026-04-27,"~44 weeks lead time"
power_infrastructure,ups_lithium_ion,UPS + batteries (Li-ion mix),0.30,0.60,0.45,facility_mw,2025,T2,TRUE,,Vertiv Q3 2025 earnings,https://seekingalpha.com/article/4890719-vertiv-holdings-the-15-billion-backlog-liquid-cooling-dominance-and-the-ai-infrastructure-trade-wall-street-is-still-underpricing,2026-04-27,"$9.5B backlog +30% YoY"
power_infrastructure,diesel_backup_gensets,Diesel backup gensets (declining for AI),0.70,1.20,0.95,facility_mw,2025,T2,FALSE,,Cummins / CSDG,https://www.cummins.com/generators/diesel,2026-04-27,"DQKAN 2.5 MW @ $519/kW list"
power_infrastructure,behind_the_meter_gas,Behind-the-meter gas (aero/frame/CCGT),1.0,2.5,1.6,facility_mw,2026,T1,TRUE,"CCGT 2-3x EIA AEO ref; turbines sold out 2028-2031",GE Vernova / Crusoe,https://www.crusoe.ai/resources/newsroom/ge-vernova-and-crusoe-announce-major-29-unit-gas-turbine-deal,2026-04-27,"Stargate Abilene + Meta Hyperion model"
power_infrastructure,in_building_distribution,"In-building distribution (busway, PDU, RPP)",0.15,0.30,0.22,facility_mw,2025,T3,FALSE,,Industry trackers,,2026-04-27,
power_infrastructure,onsite_bess,Onsite BESS (4-hr ride-through + arbitrage),0.03,0.16,0.07,facility_mw,2024,T1,FALSE,,NREL ATB 2024,https://atb.nrel.gov/electricity/2024/utility-scale_battery_storage,2026-04-27,"$334/kWh installed; LFP $125/kWh"
power_infrastructure,onsite_solar_token,Onsite solar (token / sustainability),0.0,0.025,0.005,facility_mw,2025,T3,FALSE,,Hyperscaler PPA disclosures,,2026-04-27,
networking_fabric,nvlink_nvswitch,NVLink/NVSwitch (intra-rack scale-up),1.0,1.7,1.3,facility_mw,2025,T4,FALSE,,SemiAnalysis (CPO research),https://newsletter.semianalysis.com/p/co-packaged-optics-cpo-book-scaling,2026-04-27,"$300-500k per NVL72 rack"
networking_fabric,backend_fabric_switches,Back-end fabric - switches (Spectrum-X / T5/T6),0.8,1.4,1.1,facility_mw,2025,T3,FALSE,,Dell'Oro AI back-end forecast,https://www.delloro.com/news/data-center-switch-sales-in-ai-back-end-networks-to-exceed-100-b-over-the-next-five-years/,2026-04-27,
networking_fabric,backend_fabric_optics,Back-end fabric - optics + DACs/AOCs,1.2,2.4,1.8,facility_mw,2025,T4,TRUE,,SemiAnalysis (CPO),https://newsletter.semianalysis.com/p/co-packaged-optics-cpo-book-scaling,2026-04-27,"60% of fabric BOM"
networking_fabric,backend_fabric_nics_dpus,Back-end fabric - NICs/DPUs,0.4,0.8,0.6,facility_mw,2025,T2,FALSE,,NVIDIA Quantum-2,https://www.nvidia.com/en-us/networking/quantum2/,2026-04-27,
networking_fabric,frontend_network,Front-end network (storage + management),0.2,0.4,0.3,facility_mw,2025,T4,FALSE,,Crehan / 650 Group,,2026-04-27,
networking_fabric,inter_dc_zr_pluggables_dwdm,Inter-DC: ZR/ZR+ + DWDM line system,0.1,0.4,0.2,facility_mw,2025,T2,FALSE,,Ciena WaveLogic 6,https://www.ciena.com/products/wavelogic/wavelogic-6,2026-04-27,"800ZR market crosses $1B 2026"
networking_fabric,inter_dc_owned_fiber_amortized,Inter-DC: amortized owned fiber,0.1,0.4,0.2,facility_mw,2025,T1,FALSE,,Microsoft Source (Fairwater),https://news.microsoft.com/source/features/ai/from-wisconsin-to-atlanta-microsoft-connects-datacenters-to-build-its-first-ai-superfactory/,2026-04-27,"120k miles dedicated AI WAN"
accelerator_server_bom,accelerator_silicon_chip_only,Accelerator silicon (GPU/ASIC die + HBM only),13.0,18.0,15.5,facility_mw,2026,T2,TRUE,"+25-50% B200/B300 vs H100",NVIDIA earnings + analyst,https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-fourth-quarter-and-fiscal-2025,2026-04-27,"Paper's $13-17B/GW band sits here"
accelerator_server_bom,in_rack_non_accelerator_silicon,"In-rack silicon (Grace, NVSwitch, NIC, BMC)",2.5,4.0,3.0,facility_mw,2026,T3,FALSE,,SemiAnalysis GB200 BOM,https://newsletter.semianalysis.com/p/gb200-hardware-architecture-and-component,2026-04-27,"30-35% of NVL72 rack non-accel"
accelerator_server_bom,in_rack_mechanical,"In-rack mechanical (cold plates, copper, PDU)",0.7,1.3,1.0,facility_mw,2026,T3,FALSE,,SemiAnalysis,https://newsletter.semianalysis.com/p/gb200-hardware-architecture-and-component,2026-04-27,
accelerator_server_bom,out_of_rack_networking,"Out-of-rack networking (spine, optics, cabling)",2.5,4.5,3.5,facility_mw,2026,T3,FALSE,,Bernstein per-rack BOM,https://www.investing.com/news/stock-market-news/how-much-does-a-gw-of-data-center-capacity-actually-cost-4314046,2026-04-27,"~13% of total facility"
accelerator_server_bom,storage,"Storage (NVMe arrays, controllers)",0.3,0.8,0.55,facility_mw,2026,T3,FALSE,,Bernstein,https://www.investing.com/news/stock-market-news/how-much-does-a-gw-of-data-center-capacity-actually-cost-4314046,2026-04-27,"1-1.5% of total"
grid_interconnect,grid_best_ercot_fast_track,Grid best-case (ERCOT fast-track),0.3,0.7,0.5,facility_mw,2026,T3,FALSE,,LBNL Queued Up 2025,https://emp.lbl.gov/publications/queued-2025-edition-characteristics,2026-04-27,
grid_interconnect,grid_median_pjm_miso,Grid median (PJM/MISO + assigned upgrades),0.7,1.5,1.1,facility_mw,2026,T3,FALSE,,LBNL PJM Cost Analysis,https://emp.lbl.gov/publications/interconnection-cost-analysis-pjm,2026-04-27,
grid_interconnect,grid_constrained_btm,Grid constrained (BTM gas + grid backstop),1.6,2.7,2.15,facility_mw,2026,T2,FALSE,,Crusoe + Meta Hyperion precedent,https://www.crusoe.ai/resources/newsroom/crusoe-expands-ai-data-center-campus-in-abilene-to-1-2-gigawatts,2026-04-27,
grid_interconnect,grid_worst_bespoke_transmission,Grid worst (heavy bespoke transmission + BTM gen),3.1,5.0,4.0,facility_mw,2026,T1,TRUE,,AEP Ohio / SB Energy Piketon,https://www.aep.com/news/stories/view/10823/,2026-04-27,"$4.2B / 10 GW = $420k/MW transmission alone"
